id,cnt,chk,ein,eout,area_m2,habitat,path_med,path_min,path_max,elev_m,edge,Track,restoration,zone,GagueDist,Monitoring_site
2502,,,,,26,blind channel,857.7254,857.7254,857.7254,2.3894849,0,0,,Stanwood_Camano,16151.21809,
2509,,,,,29,blind channel,841.7401,841.7401,841.7401,3.059438,0,0,,Stanwood_Camano,16134.73404,
2520,,,,,33,blind channel,826.4264,826.4264,826.4264,5.3205948,0,0,,Stanwood_Camano,16119.42021,
2526,,,,,18,blind channel,810.8198,810.8198,810.8198,5.279314,0,0,,Stanwood_Camano,16104.5195,
2528,,,,,4,blind channel,810.734,810.734,810.734,5.279314,0,0,,Stanwood_Camano,16103.69149,
18,,,,,11,blind channel,2571.535,2571.535,2571.535,2.620163,0,0,,Stanwood_Camano,19006.76773,
19,,,,,39,blind channel,2493.943,2493.943,2493.943,2.530576,0,0,,Stanwood_Camano,18927.48227,
20,,,,,79,blind channel,2478.337,2478.337,2478.337,2.530576,0,0,,Stanwood_Camano,18912.58333,
21,,,,,21,blind channel,2558.414,2558.414,2558.414,2.530576,0,0,,Stanwood_Camano,18992.10993,
23,,,,,82,blind channel,2464.073,2464.073,2464.073,2.530576,0,0,,Stanwood_Camano,18898.0266,
24,,,,,18,blind channel,2543.222,2543.222,2543.222,2.530576,0,0,,Stanwood_Camano,18977.21099,
25,,,,,74,blind channel,2448.345,2448.345,2448.345,2.535316,0,0,,Stanwood_Camano,18881.29965,
26,,,,,17,blind channel,2529.822,2529.822,2529.822,6.6621838,0,0,,Stanwood_Camano,18963.72518,
27,,,,,9,blind channel,2410.682,2410.682,2410.682,5.7845268,0,0,,Stanwood_Camano,18843.42908,
29,,,,,78,blind channel,2432.617,2432.617,2432.617,2.535316,0,0,,Stanwood_Camano,18865.57092,
32,,,,,21,blind channel,2516.837,2516.837,2516.837,3.845906,0,0,,Stanwood_Camano,18951.24113,
34,,,,,74,blind channel,2416.804,2416.804,2416.804,2.535316,0,0,,Stanwood_Camano,18850.25709,
35,,,,,15,blind channel,2395.576,2395.576,2395.576,2.446548,0,0,,Stanwood_Camano,18829.11525,
37,,,,,17,blind channel,2503.644,2503.644,2503.644,3.845906,0,0,,Stanwood_Camano,18937.9273,
39,,,,,72,blind channel,2400.49,2400.49,2400.49,2.4785011,0,0,,Stanwood_Camano,18833.94326,
43,,,,,31,blind channel,2381.212,2381.212,2381.212,2.298918,0,0,,Stanwood_Camano,18814.87234,
45,,,,,18,blind channel,2489.038,2489.038,2489.038,3.845906,0,0,,Stanwood_Camano,18923.61348,
47,,,,,40,blind channel,2384.676,2384.676,2384.676,2.298918,0,0,,Stanwood_Camano,18817.62943,
49,,,,,28,blind channel,2381.555,2381.555,2381.555,2.298918,0,0,,Stanwood_Camano,18815.21631,
51,,,,,16,blind channel,2474.638,2474.638,2474.638,4.0094528,0,0,,Stanwood_Camano,18909.12766,
55,,,,,74,blind channel,2365.741,2365.741,2365.741,2.077909,0,0,,Stanwood_Camano,18798.90248,
59,,,,,16,blind channel,2459.91,2459.91,2459.91,3.9542241,0,0,,Stanwood_Camano,18893.98582,
60,,,,,9,blind channel,2283.064,2283.064,2283.064,3.2333741,0,0,,Stanwood_Camano,18716.51773,
61,,,,,64,blind channel,2349.928,2349.928,2349.928,2.077909,0,0,,Stanwood_Camano,18783.58865,
62,,,,,13,blind channel,2374.57,2374.57,2374.57,2.077909,0,0,,Stanwood_Camano,18808.7305,
66,,,,,15,blind channel,2445.597,2445.597,2445.597,3.835191,0,0,,Stanwood_Camano,18880.08511,
67,,,,,7,blind channel,2307.315,2307.315,2307.315,5.1561761,0,0,,Stanwood_Camano,18740.47518,
68,,,,,16,blind channel,2266.957,2266.957,2266.957,3.2333741,0,0,,Stanwood_Camano,18700.2039,
69,,,,,66,blind channel,2333.821,2333.821,2333.821,1.981459,0,0,,Stanwood_Camano,18767.27482,
70,,,,,9,blind channel,2389.505,2389.505,2389.505,2.5143671,0,0,,Stanwood_Camano,18823.87234,
73,,,,,12,blind channel,2430.369,2430.369,2430.369,3.835191,0,0,,Stanwood_Camano,18863.94326,
76,,,,,75,blind channel,2318.3,2318.3,2318.3,1.734925,0,0,,Stanwood_Camano,18751.5461,
77,,,,,19,blind channel,2251.315,2251.315,2251.315,3.3010621,0,0,,Stanwood_Camano,18684.47518,
78,,,,,11,blind channel,2423.005,2423.005,2423.005,3.712245,0,0,,Stanwood_Camano,18857.28723,
79,,,,,16,blind channel,2292.244,2292.244,2292.244,1.475095,0,0,,Stanwood_Camano,18725.40426,
82,,,,,52,blind channel,2302.194,2302.194,2302.194,1.616878,0,0,,Stanwood_Camano,18735.64716,
86,,,,,20,blind channel,2235.587,2235.587,2235.587,3.3013871,0,0,,Stanwood_Camano,18669.74823,
87,,,,,43,blind channel,2295.744,2295.744,2295.744,1.5976551,0,0,,Stanwood_Camano,18728.99113,
88,,,,,12,blind channel,2407.277,2407.277,2407.277,3.5388319,0,0,,Stanwood_Camano,18841.55851,
