id_2000,id_2004,id_2013,near00_04,near04_13
1,1,963,0.0005,0.0005
5,5,965,0.0004,0.0004
15,15,968,0.0005,0.0005
46,46,736,0.0001,0
48,48,737,0.0002,0.0002
54,54,946,0.0001,0.0001
64,64,947,0,0
1598,1598,1509,0.0004,0.0004
1602,1602,1212,0.0004,0.0004
1629,1629,1510,0.0001,0.0001
1653,1653,1232,0.0002,0.0002
1665,1665,1235,0.0004,0.0004
2207,2207,1187,0.0002,0.0002
2591,2591,1515,0.0003,0.0003
3436,3436,3099,0,0
3646,3646,2696,0.0005,0.0005
3711,3711,,0.0002,
3840,3840,2692,0,0
3842,3842,2693,0.0002,0.0002
4112,4112,4152,0.0001,0.0001
4323,4323,3270,0.0001,0.0001
4326,4326,3272,0.0002,0.0001
4771,4771,4423,0.0003,0.0003
4798,4798,4496,0.0002,0.0002
4806,4806,4378,0.0002,0.0002
4818,4818,4425,0.0002,0.0002
4823,4823,4426,0.0003,0.0003
4905,4905,4447,0.0001,0.0001
4911,4911,4379,0.0002,0.0002
4985,4985,4514,0.0001,0.0001
6028,6028,6543,0,0
6032,6032,6546,0.0001,0.0001
6077,6077,7435,0.0003,0.0003
6119,6119,6593,0.0005,0.0005
6130,6130,6597,0.0001,0.0004
8450,8452,8135,0.0003,0.0003
8453,8455,8552,0.0004,0.0004
8458,8460,8553,0.0004,0.0004
8459,8462,8141,0,0
8689,8692,9382,0.0002,0.0001
8693,8696,9385,0,0
8720,8723,9439,0.0002,0.0002
8761,8764,9440,0.0002,0.0002
10082,10086,11813,0,0
10086,10090,11815,0.0002,0.0002
10141,10145,12662,0.0003,0.0003
10214,10218,11859,0.0002,0.0002
10221,10225,12663,0.0002,0.0002
11759,11764,12308,0.0002,0.0002
11760,11765,12309,0.0003,0.0001
11790,11795,12683,0.0004,0.0004
11818,11823,12685,0.0002,0.0002
12756,12761,11708,0.0004,0.0004
12907,12912,11709,0.0004,0.0004
13095,13100,13211,0.0004,0.0004
13108,13113,13217,0.0004,0.0004
13323,13328,13305,0.0003,0.0003
13485,13490,13039,0.0003,0.0003
13539,13544,15697,0,0.0001
13540,13545,15698,0.0004,0.0004
13541,13546,15326,0.0002,0.0006
13546,13551,15328,0.0003,0.0003
13663,13668,15354,0.0002,0.0002
14012,14017,16853,0.0003,0.0003
14015,14020,13040,0.0002,0.0002
14317,14322,14010,0.0003,0.0003
14478,14483,14024,0.0004,0.0004
14637,14642,13781,0.0002,0.0002
14648,14653,13787,0.0001,0.0001
14810,14815,13838,0.0003,0.0003
15770,15776,16678,0.0004,0.0004
15820,15826,16679,0.0001,0.0001
15845,15851,14816,0.0001,0.0001
15864,15870,16247,0.0003,0.0002
15865,15871,14818,0.0003,0.0003
15893,15899,14369,0,0
15898,15904,16253,0.0001,0.0001
15908,15914,14372,0.0003,0.0003
16015,16021,,0.0002,
16112,16118,14441,0.0001,0.0001
16836,16842,13135,0.0001,0.0001
16955,16960,13143,0.0002,0.0002
17087,17092,13071,0,0.0001
17130,17135,13072,0.0002,0.0002
17153,17158,14774,0.0003,0.0007
17154,17159,14775,0.0003,0.0003
17189,17194,14891,0.0004,0.0004
17231,17236,14899,0.0004,0.0004
17729,17734,20380,0.0001,0.0001
17822,17827,17514,0.0003,0.0003
17981,17986,20387,0.0002,0.0002
18064,18069,22497,0.0004,0.0004
18088,18093,22400,0.0002,0.0002
18321,18326,19202,0.0003,0.0003
18339,18344,17741,0.0001,0.0001
18361,18366,19210,0.0004,0.0004
18583,18588,22273,0.0003,0.0003
18599,18604,22275,0.0001,0.0001
18656,18661,22387,0.0002,0.0002
18708,18713,22388,0.0001,0.0001
18718,18723,17729,0.0002,0.0002
18779,18784,18153,0.0001,0
18785,18790,18156,0.0004,0.0004
18899,18904,19353,0.0002,0.0002
18913,18918,19357,0.0001,0.0001
18953,18958,20461,0.0002,0.0002
18966,18971,20408,0.0003,0.0003
18969,18974,19374,0.0004,0.0004
19022,19027,20409,0.0003,0.0003
19842,19848,19674,0.0002,0.0002
19854,19860,19680,0.0003,0.0003
19866,19872,19686,0,0
20122,20128,21524,0.0002,3.9974
20316,20322,,0.0003,
20326,20332,21911,0.0004,0.0033
20342,20348,21971,0.0001,0.0001
20814,20820,21966,0.0001,0.0001
20962,20968,21728,0.0004,0.0004
20964,20970,21729,0.0003,0.0002
20996,21002,21917,0.0005,0.0037
21158,21164,20459,0.0004,0.0004
21171,21177,20460,0.0002,0.0003
21200,21206,,0.0005,
21524,21530,24407,0.0002,2.3149
21543,21549,24359,0,0.0008
21548,21554,24222,0.0004,0.0003
21561,21567,24226,0.0001,0.0001
21630,21636,24194,0.0003,0.0003
21686,21692,24195,0,0
21739,21745,24196,0.0001,0.0001
21846,21852,23989,0.0001,0.0001
21891,21897,24327,0.0003,0.0003
21941,21947,23842,0.0004,0.0004
21968,21974,,0.0001,
21979,21985,,0.0001,
22004,22010,23995,0.0005,0.0005
22010,22016,23999,0.0001,0.0001
22012,22018,22579,0,0
22054,22060,24008,0.0001,0.0001
22071,22077,24154,0.0003,0.0003
22074,22080,24155,0.0003,0.0003
22076,22082,,0.0001,
22090,22096,,0.0005,
22106,22112,24389,0.0003,0.0003
22117,22123,24390,0.0004,0.0004
22123,22129,24367,0.0001,0.0009
22128,22134,22999,0.0005,0.0005
22149,22155,22788,0.0004,0.0004
22303,22309,24131,0.0003,0.0003
22331,22337,24183,0.0004,0.0004
22375,22381,24150,0,0
22379,22385,24151,0.0005,0.0006
22412,22418,24175,0.0001,0.0001
22437,22443,24177,0.0003,0.0003
22566,22572,22985,0.0005,0.0005
22569,22575,22987,0.0002,0.0002
22672,22678,24861,0.0002,0.0002
22906,22912,24481,0.0004,0.0004
23200,23206,24485,0,0
23236,23243,25094,0.0001,0.0001
23238,23245,25067,0.0001,0.0008
23240,23247,24489,0,0
23617,23624,25990,0.0002,0.0003
23623,23630,25991,0.0003,0.0003
23628,23635,26004,0.0002,0.0002
23629,23636,,0.0001,
23635,23642,25520,0.0002,0.0002
23637,23644,25950,0.0003,0.0003
23646,23653,,0.0002,
23651,23658,25948,0.0001,0.0001
23718,23725,25575,0.0002,0.0002
23902,23909,25500,0.0002,0.0002
24159,24166,25518,0.0003,0.0002
24175,24182,27045,0.0005,0.0002
24176,24183,27046,0.0002,0.0002
24180,24187,27855,0.0001,0.0001
24215,24222,27055,0.0003,0.0003
24242,24249,27858,0.0005,0.0005
24346,24353,27864,0.0003,0.0002
24666,24673,28093,0.0002,0.0002
24678,24685,,0.0002,
24688,24695,27971,0.0002,0.0002
24706,24713,27972,0.0003,0.0003
24933,24940,27805,0.0003,0.0003
24946,24953,26956,0.0001,0.0001
24981,24988,26959,0.0003,0.0003
25025,25032,26365,0.0001,0.0001
25031,25038,26368,0.0003,0.0003
25193,25200,28076,0.0003,0.0003
25207,25214,27930,0.0004,0.0004
25211,25218,27932,0.0002,0.0002
25326,25333,27939,0,0
25362,25369,27706,0.0001,0.0001
25400,25407,27423,0.0003,0.0008
25404,25411,27426,0.0001,0.0001
25646,25653,28224,0.0001,0.0001
25772,25779,28212,0.0005,0.0005
25910,25917,28193,0.0005,0.0004
25925,25932,28194,0.0003,0.0003
26018,26025,26084,0.0004,0.0004
26027,26034,26707,0.0002,0.0003
26028,26035,26708,0.0005,0.0005
26154,26161,26777,0.0001,0.0001
26188,26195,28203,0.0004,0.0004
26203,26210,26085,0,0
26452,26459,28548,0.0004,0.0004
26454,26461,28549,0,0
26633,26640,28652,0.0002,0.0002
26723,26730,28279,0.0002,0.0002
26845,26852,28451,0.0001,0.0001
26875,26882,28298,0,0
26912,26919,29100,0.0001,0.0001
26930,26937,28330,0.0003,0.0003
26958,26965,28350,0.0003,0.0003
27016,27023,29104,0.0001,0.0001
27056,27063,28453,0.0002,0.0002
27083,27090,28778,0.0003,0.0004
27086,27093,28779,0.0004,0.0004
27418,27425,29501,0.0004,0.0004
27604,27611,28420,0.0003,0.0003
27616,27623,28444,0.0001,0.0001
27653,27660,28421,0.0004,0.0004
27688,27695,28423,0.0004,0.0004
27812,27819,29659,0.0005,0.0005
27825,27832,29636,0.0005,0.0005
27831,27838,29649,0,0.0001
28036,28043,30571,0.0003,0.0003
28040,28047,30087,0.0001,0.0004
28053,28060,30097,0,0
28751,28758,29784,0.0002,0.0002
28771,28778,29775,0.0005,0.0005
28775,28782,29776,0.0003,0.0003
28778,28785,29777,0.0003,0.0003
28791,28798,30826,0.0003,0.0003
28800,28807,30827,0.0004,0.0004
28813,28820,30828,0.0005,0.0005
29054,29061,31115,0.0004,0.0004
29090,29097,31116,0.0001,0.0001
29110,29118,31117,0.0003,0.0003
29146,29155,31146,0.0004,0.0004
29149,29158,31148,0.0002,0.0002
29150,29159,31149,0.0003,0.0004
29163,29172,31168,0.0001,0.0001
29179,29188,31169,0.0003,0.0003
29238,29247,30882,0.0002,0.0002
29244,29253,30854,0.0005,1.3438
29248,29257,30883,0.0004,0.0004
29258,29267,30890,0.0004,0.0004
29260,29269,30863,0.0002,0.0002
29274,29283,31206,0.0003,0.0003
29277,29286,31173,0.0002,0.0002
29295,29304,31176,0.0004,0.0003
29362,29371,31290,0.0002,0.0002
29397,29406,31291,0.0002,0.0003
29398,29407,31305,0.0001,0.0001
29399,29408,31306,0.0005,0.0005
29401,29410,31293,0,0
29403,29412,31318,0.0004,0.0004
29405,29414,31295,0,0
29563,29576,31729,0.0005,0.0005
29569,29582,,0.0005,
29570,29583,31969,0,0
29571,29584,31963,0.0004,0.0004
29572,29585,32014,0.0002,0.0002
29718,29733,,0.0004,
29728,29743,,0.0002,
29730,29745,32449,0.0001,0.0001
29731,29747,32446,0.0004,0.0004
29732,29748,32447,0.0003,0.0004
30524,30540,32748,0.0004,0.0005
30628,30644,32944,0.0001,0.0001
31171,31190,33739,0.0001,0.0001
31342,31361,33872,0.0004,0.0004
31354,31373,34216,0.0005,0.0005
31355,31374,34275,0.0002,0.0002
31445,31464,33822,0.0005,0.0005
31462,31481,34274,0.0005,0.0005
31521,31540,33891,0.0002,0.0002
31529,31548,33892,0.0005,0.0005
31559,31578,33898,0.0004,0.0004
31564,31583,33922,0.0004,0.0004
31590,31609,33899,0.0005,0.0005
31631,31650,33901,0.0004,0.0004
,31727,23967,,0.0004
,31821,24057,,0
,31823,24107,,0
,31850,21588,,0.0002
,31878,21600,,0.0005
,31897,21630,,2.8114
31657,32115,20919,0,0.0001
