X,Y,SITE_NAME
543315.08578099,5357153.10064752,Grain of Sand
546126.434080967,5351408.28219775,FWP New Site
543318.983237766,5353595.19897234,Browns Sl Barrow Ch
543423.54955078,5354031.64952301,Browns Sl Diked Side
536616.438361826,5356979.25100641,Ika Lower
546151.382953186,5347763.44736461,Tom Moore
536764.364795819,5357081.98417644,Ika Upper
538498.655045256,5356822.6687879,Cattail Saltmarsh
546925.057696358,5350772.73933672,DW Reference E Blind
537078.761783274,5359996.14833913,Swin Ch Old Bridge Blind
541499.338423142,5354342.05934784,Hall Sl Trib
