id_2000,id_2004,area_m2_2000,area_m2_2004,habitat_2000,habitat_2004,costdist_2000,costdist_2004,elev_2000,elev_2004,edge_2000,edge_2004,track_2000,track_2004,restoration_2000,restoration_2004,zone_2000,zone_2004,,monitoring_site_2000,monitoring_site_2004
1,1,734,734,nearshore,nearshore,3320.9,3320.9,0.8399249,0.8399249,0,0,1,1,,,Stanwood_Camano,Stanwood_Camano,,,
2,2,2452,2452,distributary channel,distributary channel,3278.615,3278.615,0.8431758,0.8431758,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
3,3,703,703,distributary channel,distributary channel,3227.867,3227.867,0.8798191,0.8798191,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
4,4,1869,1869,distributary channel,distributary channel,3139.405,3139.405,1.040921,1.040921,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
5,5,1850,1850,nearshore,nearshore,3314.606,3314.606,0.9385784,0.9385784,0,0,1,1,,,Stanwood_Camano,Stanwood_Camano,,,
6,6,1674,1674,distributary channel,distributary channel,3207.863,3207.863,0.9383202,0.9383202,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
7,7,4936,4936,distributary channel,distributary channel,3261.363,3261.363,0.9319457,0.9319457,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
8,8,3223,3223,distributary channel,distributary channel,3134.307,3134.307,0.9219159,0.9219159,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
9,9,2004,2004,distributary channel,distributary channel,3129.244,3129.244,0.9251968,0.9251968,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
10,10,2219,2219,distributary channel,distributary channel,2955.188,2955.188,0.8956693,0.8956693,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
11,11,579,579,distributary channel,distributary channel,3197.058,3197.058,0.9383202,0.9383202,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
12,12,2628,2628,distributary channel,distributary channel,3255.529,3255.529,0.9514436,0.9514436,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
13,13,3206,3206,distributary channel,distributary channel,2957.439,2957.439,0.8956693,0.8956693,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
14,14,2441,2441,distributary channel,distributary channel,2957.933,2957.933,0.8956693,0.8956693,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
15,15,738,738,nearshore,nearshore,3312.798,3312.798,0.9645669,0.9645669,0,0,1,1,,,Stanwood_Camano,Stanwood_Camano,,,
16,16,1847,1847,distributary channel,distributary channel,2735.077,2735.077,0.8858268,0.8858268,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
17,17,3717,3717,distributary channel,distributary channel,2740.213,2740.213,0.8858268,0.8858268,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
18,18,11,11,blind channel,blind channel,2571.535,2571.535,2.620163,2.620163,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
19,19,39,39,blind channel,blind channel,2493.943,2493.943,2.530576,2.530576,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
20,20,79,79,blind channel,blind channel,2478.337,2478.337,2.530576,2.530576,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
21,21,21,21,blind channel,blind channel,2558.414,2558.414,2.530576,2.530576,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
22,22,1622,1622,distributary channel,distributary channel,2746.207,2746.207,0.8858268,0.8858268,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
23,23,82,82,blind channel,blind channel,2464.073,2464.073,2.530576,2.530576,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
24,24,18,18,blind channel,blind channel,2543.222,2543.222,2.530576,2.530576,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
25,25,74,74,blind channel,blind channel,2448.345,2448.345,2.535316,2.535316,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
26,26,17,17,blind channel,blind channel,2529.822,2529.822,6.6621838,6.6621838,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
27,27,9,9,blind channel,blind channel,2410.682,2410.682,5.7845268,5.7845268,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
28,28,14,14,blind channel,blind channel,2831.071,2831.071,7.4173889,7.4173889,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
29,29,78,78,blind channel,blind channel,2432.617,2432.617,2.535316,2.535316,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
30,30,15,15,blind channel,blind channel,2818.5,2818.5,6.752676,6.752676,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
31,31,15,15,blind channel,blind channel,2804.378,2804.378,6.7455578,6.7455578,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
32,32,21,21,blind channel,blind channel,2516.837,2516.837,3.845906,3.845906,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
33,33,8,8,blind channel,blind channel,2846.091,2846.091,7.6299109,7.6299109,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
34,34,74,74,blind channel,blind channel,2416.804,2416.804,2.535316,2.535316,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
35,35,15,15,blind channel,blind channel,2395.576,2395.576,2.446548,2.446548,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
