id,cnt,chk,ein,eout,area_m2,habitat,path_med,path_min,path_max,elev_m,edge
1,,,,,734,nearshore,3320.9,3320.9,3320.9,0.8399249,0
2,,,,,2452,distributary channel,3278.615,3278.615,3278.615,0.8431758,1
3,,,,,703,distributary channel,3227.867,3227.867,3227.867,0.8798191,1
4,,,,,1869,distributary channel,3139.405,3139.405,3139.405,1.040921,1
5,,,,,1850,nearshore,3314.606,3314.606,3314.606,0.9385784,0
6,,,,,1674,distributary channel,3207.863,3207.863,3207.863,0.9383202,0
7,,,,,4936,distributary channel,3261.363,3261.363,3261.363,0.9319457,0
8,,,,,3223,distributary channel,3134.307,3134.307,3134.307,0.9219159,0
9,,,,,2004,distributary channel,3129.244,3129.244,3129.244,0.9251968,1
10,,,,,2219,distributary channel,2955.188,2955.188,2955.188,0.8956693,1
11,,,,,579,distributary channel,3197.058,3197.058,3197.058,0.9383202,1
12,,,,,2628,distributary channel,3255.529,3255.529,3255.529,0.9514436,1
13,,,,,3206,distributary channel,2957.439,2957.439,2957.439,0.8956693,0
14,,,,,2441,distributary channel,2957.933,2957.933,2957.933,0.8956693,1
15,,,,,738,nearshore,3312.798,3312.798,3312.798,0.9645669,0
16,,,,,1847,distributary channel,2735.077,2735.077,2735.077,0.8858268,1
17,,,,,3717,distributary channel,2740.213,2740.213,2740.213,0.8858268,0
18,,,,,11,blind channel,2571.535,2571.535,2571.535,2.620163,0
19,,,,,39,blind channel,2493.943,2493.943,2493.943,2.530576,0
20,,,,,79,blind channel,2478.337,2478.337,2478.337,2.530576,0
21,,,,,21,blind channel,2558.414,2558.414,2558.414,2.530576,0
22,,,,,1622,distributary channel,2746.207,2746.207,2746.207,0.8858268,1
23,,,,,82,blind channel,2464.073,2464.073,2464.073,2.530576,0
24,,,,,18,blind channel,2543.222,2543.222,2543.222,2.530576,0
25,,,,,74,blind channel,2448.345,2448.345,2448.345,2.535316,0
26,,,,,17,blind channel,2529.822,2529.822,2529.822,6.6621838,0
27,,,,,9,blind channel,2410.682,2410.682,2410.682,5.7845268,0
28,,,,,14,blind channel,2831.071,2831.071,2831.071,7.4173889,0
29,,,,,78,blind channel,2432.617,2432.617,2432.617,2.535316,0
30,,,,,15,blind channel,2818.5,2818.5,2818.5,6.752676,0
31,,,,,15,blind channel,2804.378,2804.378,2804.378,6.7455578,0
32,,,,,21,blind channel,2516.837,2516.837,2516.837,3.845906,0
33,,,,,8,blind channel,2846.091,2846.091,2846.091,7.6299109,0
34,,,,,74,blind channel,2416.804,2416.804,2416.804,2.535316,0
35,,,,,15,blind channel,2395.576,2395.576,2395.576,2.446548,0
36,,,,,16,blind channel,2791.1,2791.1,2791.1,6.7455578,0
37,,,,,17,blind channel,2503.644,2503.644,2503.644,3.845906,0
38,,,,,7,blind channel,2687.644,2687.644,2687.644,8.4136314,0
39,,,,,72,blind channel,2400.49,2400.49,2400.49,2.4785011,0
40,,,,,8,blind channel,2776.408,2776.408,2776.408,6.7455578,0
41,,,,,9,blind channel,2776.2,2776.2,2776.2,6.7455578,0
42,,,,,2,blind channel,2778.993,2778.993,2778.993,6.7455578,0
43,,,,,31,blind channel,2381.212,2381.212,2381.212,2.298918,0
44,,,,,16,blind channel,2760.751,2760.751,2760.751,6.7455578,0
45,,,,,18,blind channel,2489.038,2489.038,2489.038,3.845906,0
46,,,,,6,distributary channel,2625.082,2625.082,2625.082,0.6856955,0
47,,,,,40,blind channel,2384.676,2384.676,2384.676,2.298918,0
48,,,,,13,blind channel,2630.789,2630.789,2630.789,0.6824147,0
49,,,,,28,blind channel,2381.555,2381.555,2381.555,2.298918,0
50,,,,,15,blind channel,2672.452,2672.452,2672.452,7.2105041,0
51,,,,,16,blind channel,2474.638,2474.638,2474.638,4.0094528,0
52,,,,,16,blind channel,2643.567,2643.567,2643.567,0.6791338,0
53,,,,,9,blind channel,2746.609,2746.609,2746.609,7.0715532,0
54,,,,,3680,distributary channel,2637.647,2637.647,2637.647,0.6889763,0
55,,,,,74,blind channel,2365.741,2365.741,2365.741,2.077909,0
56,,,,,12,blind channel,2743.28,2743.28,2743.28,7.0715532,0
57,,,,,4,blind channel,2749.28,2749.28,2749.28,7.0715532,0
58,,,,,17,blind channel,2658.967,2658.967,2658.967,0.6728803,0
59,,,,,16,blind channel,2459.91,2459.91,2459.91,3.9542241,0
60,,,,,9,blind channel,2283.064,2283.064,2283.064,3.2333741,0
61,,,,,64,blind channel,2349.928,2349.928,2349.928,2.077909,0
62,,,,,13,blind channel,2374.57,2374.57,2374.57,2.077909,0
63,,,,,16,blind channel,2729.845,2729.845,2729.845,6.7674861,0
64,,,,,1525,distributary channel,2649.883,2649.883,2649.883,0.6922572,1
65,,,,,8,blind channel,2571.593,2571.593,2571.593,4.8980522,0
66,,,,,15,blind channel,2445.597,2445.597,2445.597,3.835191,0
67,,,,,7,blind channel,2307.315,2307.315,2307.315,5.1561761,0
68,,,,,16,blind channel,2266.957,2266.957,2266.957,3.2333741,0
69,,,,,66,blind channel,2333.821,2333.821,2333.821,1.981459,0
70,,,,,9,blind channel,2389.505,2389.505,2389.505,2.5143671,0
71,,,,,16,blind channel,2714.91,2714.91,2714.91,6.7674861,0
72,,,,,8,blind channel,2557.693,2557.693,2557.693,4.8980522,0
73,,,,,12,blind channel,2430.369,2430.369,2430.369,3.835191,0
74,,,,,5,blind channel,2566.108,2566.108,2566.108,4.8980522,0
75,,,,,13,blind channel,2556.986,2556.986,2556.986,4.8980522,0
76,,,,,75,blind channel,2318.3,2318.3,2318.3,1.734925,0
77,,,,,19,blind channel,2251.315,2251.315,2251.315,3.3010621,0
78,,,,,11,blind channel,2423.005,2423.005,2423.005,3.712245,0
79,,,,,16,blind channel,2292.244,2292.244,2292.244,1.475095,0
80,,,,,44,blind channel,2559.986,2559.986,2559.986,4.8980522,0
81,,,,,15,blind channel,2700.011,2700.011,2700.011,6.4533849,0
82,,,,,52,blind channel,2302.194,2302.194,2302.194,1.616878,0
83,,,,,47,blind channel,2574.486,2574.486,2574.486,5.2131572,0
84,,,,,25,blind channel,2545.744,2545.744,2545.744,4.8156748,0
85,,,,,31,blind channel,2544.329,2544.329,2544.329,4.8156748,0
86,,,,,20,blind channel,2235.587,2235.587,2235.587,3.3013871,0
87,,,,,43,blind channel,2295.744,2295.744,2295.744,1.5976551,0
88,,,,,12,blind channel,2407.277,2407.277,2407.277,3.5388319,0
89,,,,,9,blind channel,2295.83,2295.83,2295.83,1.5976551,0
90,,,,,24,blind channel,2280.173,2280.173,2280.173,1.475095,0
91,,,,,30,blind channel,2279.673,2279.673,2279.673,1.475095,0
92,,,,,12,blind channel,2398.206,2398.206,2398.206,3.5388319,0
93,,,,,36,blind channel,2589.628,2589.628,2589.628,5.8950238,0
94,,,,,20,blind channel,2220.359,2220.359,2220.359,3.1587551,0
95,,,,,17,blind channel,2309.936,2309.936,2309.936,1.716795,0
96,,,,,17,blind channel,2684.697,2684.697,2684.697,5.9998608,0
97,,,,,24,blind channel,2529.43,2529.43,2529.43,4.3516321,0
98,,,,,8,blind channel,2540.137,2540.137,2540.137,3.1219151,0
99,,,,,14,blind channel,2382.22,2382.22,2382.22,3.5842409,0
100,,,,,10,blind channel,2525.566,2525.566,2525.566,4.2734179,0
101,,,,,16,blind channel,2325.093,2325.093,2325.093,2.1169839,0
102,,,,,64,blind channel,2263.359,2263.359,2263.359,1.2467411,0
103,,,,,17,blind channel,2368.356,2368.356,2368.356,3.476908,0
104,,,,,8,blind channel,2233.181,2233.181,2233.181,0.924561,0
105,,,,,12,blind channel,2670.919,2670.919,2670.919,6.4341822,0
106,,,,,25,blind channel,2605.356,2605.356,2605.356,5.8950238,0
107,,,,,29,blind channel,2522.066,2522.066,2522.066,3.9919691,0
108,,,,,17,blind channel,2683.919,2683.919,2683.919,5.6285009,0
109,,,,,25,blind channel,2204.717,2204.717,2204.717,0.924561,0
110,,,,,15,blind channel,2353.285,2353.285,2353.285,3.476908,0
111,,,,,13,blind channel,2669.141,2669.141,2669.141,6.4533849,0
112,,,,,62,blind channel,2247.338,2247.338,2247.338,1.045001,0
113,,,,,25,blind channel,2659.555,2659.555,2659.555,6.4533849,0
114,,,,,27,blind channel,2620.963,2620.963,2620.963,5.9998608,0
115,,,,,16,blind channel,2337.836,2337.836,2337.836,3.476908,0
116,,,,,26,blind channel,2644.777,2644.777,2644.777,5.9998608,0
117,,,,,11,blind channel,2624.499,2624.499,2624.499,5.8950238,0
118,,,,,19,blind channel,2630.327,2630.327,2630.327,5.9998608,0
119,,,,,39,blind channel,2190.161,2190.161,2190.161,0.4658171,0
120,,,,,8,blind channel,2639.534,2639.534,2639.534,5.8950238,0
121,,,,,12,blind channel,2696.197,2696.197,2696.197,5.6285009,0
122,,,,,62,blind channel,2231.439,2231.439,2231.439,1.04027,0
123,,,,,12,blind channel,2217.403,2217.403,2217.403,0.6608772,0
124,,,,,34,blind channel,2507.202,2507.202,2507.202,0.636483,0
125,,,,,11,blind channel,2703.061,2703.061,2703.061,6.6094351,0
126,,,,,3,blind channel,2700.404,2700.404,2700.404,5.6285009,0
127,,,,,33,blind channel,2215.039,2215.039,2215.039,0.6608772,0
128,,,,,35,blind channel,2213.832,2213.832,2213.832,0.6608772,0
129,,,,,56,blind channel,2175.104,2175.104,2175.104,0.2132552,0
130,,,,,13,blind channel,2492.838,2492.838,2492.838,0.6233596,0
131,,,,,65,blind channel,2197.847,2197.847,2197.847,0.4658171,0
132,,,,,2,distributary channel,2493.131,2493.131,2493.131,0.6233596,0
133,,,,,16,blind channel,2716.996,2716.996,2716.996,6.7568388,0
134,,,,,55,blind channel,2181.655,2181.655,2181.655,0.2132552,0
135,,,,,7,blind channel,2272.936,2272.936,2272.936,3.047262,0
136,,,,,38,blind channel,2162.826,2162.826,2162.826,0.0610131,0
137,,,,,53,blind channel,2165.619,2165.619,2165.619,0.0690237,0
138,,,,,62,blind channel,2162.412,2162.412,2162.412,0.0610131,0
139,,,,,5368,distributary channel,2513.489,2513.489,2513.489,0.6332021,0
140,,,,,7,blind channel,2731.739,2731.739,2731.739,8.0900564,0
141,,,,,16,blind channel,2257.708,2257.708,2257.708,2.6258121,0
142,,,,,100,blind channel,2148.184,2148.184,2148.184,-0.0427245,0
143,,,,,8,blind channel,2487.695,2487.695,2487.695,7.7137618,0
144,,,,,126,blind channel,2142.32,2142.32,2142.32,-0.0427245,0
145,,,,,16,blind channel,2472.245,2472.245,2472.245,7.0150981,0
146,,,,,1580,distributary channel,2521.397,2521.397,2521.397,0.636483,1
147,,,,,15,blind channel,2243.395,2243.395,2243.395,2.476135,0
148,,,,,15,blind channel,2457.881,2457.881,2457.881,7.1813402,0
149,,,,,55,blind channel,2142.784,2142.784,2142.784,-0.0427245,0
150,,,,,123,blind channel,2127.764,2127.764,2127.764,-0.0427245,0
151,,,,,17,blind channel,2442.396,2442.396,2442.396,7.1791759,0
152,,,,,8,blind channel,2413.065,2413.065,2413.065,7.8761802,0
153,,,,,15,blind channel,2228.96,2228.96,2228.96,1.762405,0
154,,,,,8,blind channel,2398.645,2398.645,2398.645,7.4958491,0
155,,,,,50,blind channel,2156.841,2156.841,2156.841,0.0335512,0
156,,,,,104,blind channel,2112.914,2112.914,2112.914,-0.0427245,0
157,,,,,17,blind channel,2427.961,2427.961,2427.961,7.3007779,0
158,,,,,20,blind channel,2213.025,2213.025,2213.025,0.5872284,0
159,,,,,15,blind channel,2399.08,2399.08,2399.08,7.7396712,0
160,,,,,16,blind channel,2412.183,2412.183,2412.183,5.699235,0
161,,,,,26,blind channel,2172.655,2172.655,2172.655,0.0335512,0
162,,,,,29,blind channel,2175.069,2175.069,2175.069,0.0335512,0
163,,,,,14,blind channel,2397.94,2397.94,2397.94,5.4385791,0
164,,,,,8,blind channel,2398.147,2398.147,2398.147,5.4385791,0
165,,,,,20,blind channel,2174.483,2174.483,2174.483,0.0335512,0
166,,,,,16,blind channel,2403.476,2403.476,2403.476,4.7771082,0
167,,,,,17,blind channel,2384.781,2384.781,2384.781,7.0030308,0
168,,,,,24,blind channel,2197.504,2197.504,2197.504,0.1675285,0
169,,,,,4,blind channel,2202.297,2202.297,2202.297,0.1675285,0
170,,,,,22,blind channel,2417.597,2417.597,2417.597,3.564074,0
171,,,,,78,blind channel,2097.479,2097.479,2097.479,0.1049995,0
172,,,,,16,blind channel,2385.387,2385.387,2385.387,7.4958491,0
173,,,,,14,blind channel,2423.649,2423.649,2423.649,6.6546941,0
174,,,,,18,blind channel,2433.254,2433.254,2433.254,3.3985679,0
175,,,,,8,blind channel,2438.441,2438.441,2438.441,6.6546941,0
176,,,,,16,blind channel,2413.354,2413.354,2413.354,5.899003,0
177,,,,,64,blind channel,2190.882,2190.882,2190.882,0.0653392,0
178,,,,,62,blind channel,2091.03,2091.03,2091.03,-0.0113914,0
179,,,,,14,blind channel,2091.151,2091.151,2091.151,-0.0113914,0
180,,,,,23,blind channel,2412.32,2412.32,2412.32,6.6546941,0
181,,,,,37,blind channel,2193.297,2193.297,2193.297,0.166046,0
182,,,,,10,blind channel,2428.097,2428.097,2428.097,8.365634,0
