id,cnt,chk,ein,eout,area_m2,habitat,path_med,path_min,path_max,elev_m,edge,track,restoration,zone,GagueDist,monitoring_site,TideGateImpact,StartPoint
0,,,,,26,blind channel,868.9092,,,3.328796864,0,0,,Stanwood_Camano,16151.8046875,,,
1,,,,,29,blind channel,852.9239,,,4.783810616,0,0,,Stanwood_Camano,16135.3193359375,,,
2,,,,,33,blind channel,837.6101999999998,,,5.222821236,0,0,,Stanwood_Camano,16120.0048828125,,,
3,,,,,18,blind channel,822.0036,,,4.970132828,0,0,,Stanwood_Camano,16104.51953125,,,
4,,,,,4,blind channel,820.6752,,,4.970132828,0,0,,Stanwood_Camano,16103.69140625,,,
5,,,,,97,blind channel,1921.464,,,2.620163202,0,0,,Stanwood_Camano,18355.50390625,,,
6,,,,,108,blind channel,1905.514,,,2.530575752,0,0,,Stanwood_Camano,18339.259765625,,,
7,,,,,98,blind channel,1889.978,,,2.530575752,0,0,,Stanwood_Camano,18323.017578125,,,
8,,,,,102,blind channel,1874.357,,,2.530575752,0,0,,Stanwood_Camano,18307.603515625,,,
9,,,,,115,blind channel,1860.236,,,2.036622524,0,0,,Stanwood_Camano,18294.189453125,,,
10,,,,,113,blind channel,1844.821,,,2.530575752,0,0,,Stanwood_Camano,18278.361328125,,,
11,,,,,120,blind channel,1828.958,,,2.036622524,0,0,,Stanwood_Camano,18262.705078125,,,
12,,,,,91,blind channel,1812.679,,,6.662183762,0,0,,Stanwood_Camano,18246.21875,,,
13,,,,,47,blind channel,1804.022,,,5.70184803,0,0,,Stanwood_Camano,18237.5625,,,
14,,,,,44,blind channel,1805.094,,,2.036622524,0,0,,Stanwood_Camano,18238.6328125,,,
15,,,,,17,blind channel,1817.629,,,3.845906258,0,0,,Stanwood_Camano,18251.875,,,
16,,,,,105,blind channel,1787.916,,,2.036622524,0,0,,Stanwood_Camano,18221.662109375,,,
17,,,,,106,blind channel,1772.188,,,2.446548223,0,0,,Stanwood_Camano,18205.93359375,,,
18,,,,,107,blind channel,1756.167,,,3.845906258,0,0,,Stanwood_Camano,18190.20703125,,,
19,,,,,108,blind channel,1740.439,,,2.47850132,0,0,,Stanwood_Camano,18173.892578125,,,
20,,,,,162,blind channel,1724.918,,,2.242788315,0,0,,Stanwood_Camano,18158.1640625,,,
21,,,,,121,blind channel,1708.812,,,3.845906258,0,0,,Stanwood_Camano,18141.8515625,,,
22,,,,,106,blind channel,1692.619,,,2.298918247,0,0,,Stanwood_Camano,18127.537109375,,,
23,,,,,92,blind channel,1691.797,,,2.242788315,0,0,,Stanwood_Camano,18109.052734375,,,
24,,,,,130,blind channel,1683.705,,,4.009453297,0,0,,Stanwood_Camano,18123.224609375,,,
25,,,,,95,blind channel,1705.211,,,2.07790947,0,0,,Stanwood_Camano,18093.15234375,,,
26,,,,,77,blind channel,1721.232,,,4.009453297,0,0,,Stanwood_Camano,18077.42578125,,,
27,,,,,130,blind channel,1668.998,,,3.164269924,0,0,,Stanwood_Camano,18127.96875,,,
28,,,,,70,blind channel,1736.46,,,2.07790947,0,0,,Stanwood_Camano,18061.697265625,,,
29,,,,,17,blind channel,1703.857,,,2.07790947,0,0,,Stanwood_Camano,18163.03515625,,,
30,,,,,124,blind channel,1654.412,,,3.78655839,0,0,,Stanwood_Camano,18112.96875,,,
31,,,,,68,blind channel,1752.395,,,5.156175613,0,0,,Stanwood_Camano,18045.96875,,,
32,,,,,60,blind channel,1768.123,,,3.164269924,0,0,,Stanwood_Camano,18030.240234375,,,
33,,,,,121,blind channel,1638.584,,,1.981459379,0,0,,Stanwood_Camano,18097.5546875,,,
34,,,,,64,blind channel,1784.144,,,2.546643257,0,0,,Stanwood_Camano,18014.513671875,,,
35,,,,,68,blind channel,1799.872,,,3.78655839,0,0,,Stanwood_Camano,17998.78515625,,,
36,,,,,139,blind channel,1623.255,,,1.734925389,0,0,,Stanwood_Camano,18081.7265625,,,
37,,,,,56,blind channel,1815.1,,,3.294339657,0,0,,Stanwood_Camano,17983.056640625,,,
38,,,,,8,blind channel,1736.058,,,3.519897461,0,0,,Stanwood_Camano,18195.408203125,,,
39,,,,,140,blind channel,1607.013,,,1.472243428,0,0,,Stanwood_Camano,18066.484375,,,
40,,,,,17,blind channel,1737.472,,,1.517427444,0,0,,Stanwood_Camano,18196.408203125,,,
41,,,,,7,blind channel,1728.23,,,3.294339657,0,0,,Stanwood_Camano,18186.580078125,,,
42,,,,,7,blind channel,1752.336,,,1.517427444,0,0,,Stanwood_Camano,18211.892578125,,,
43,,,,,49,blind channel,1831.035,,,3.519897461,0,0,,Stanwood_Camano,17967.330078125,,,
44,,,,,10,blind channel,1721.866,,,1.517427444,0,0,,Stanwood_Camano,18180.921875,,,
45,,,,,11,blind channel,1723.987,,,1.472243428,0,0,,Stanwood_Camano,18181.921875,,,
46,,,,,7,blind channel,1575.107,,,1.472243428,0,0,,Stanwood_Camano,18035.19921875,,,
47,,,,,15,blind channel,1718.244,,,3.519897461,0,0,,Stanwood_Camano,18177.09375,,,
48,,,,,62,blind channel,1632.002,,,3.158755302,0,0,,Stanwood_Camano,18090.6796875,,,
49,,,,,15,blind channel,1713.38,,,1.716794968,0,0,,Stanwood_Camano,18172.4375,,,
50,,,,,71,blind channel,1630.587,,,3.584241152,0,0,,Stanwood_Camano,18089.265625,,,
51,,,,,49,blind channel,1846.47,,,2.064798832,0,0,,Stanwood_Camano,17952.6015625,,,
52,,,,,138,blind channel,1591.27,,,1.285474777,0,0,,Stanwood_Camano,18050.240234375,,,
53,,,,,12,blind channel,1702.724,,,3.47690773,0,0,,Stanwood_Camano,18161.365234375,,,
54,,,,,19,blind channel,1699.895,,,0.924561024,0,0,,Stanwood_Camano,18159.537109375,,,
55,,,,,4,blind channel,1700.309,,,0.924561024,0,0,,Stanwood_Camano,18158.951171875,,,
56,,,,,51,blind channel,1862.405,,,3.47690773,0,0,,Stanwood_Camano,17936.458984375,,,
