day,month,year,abundance
30,1,2014,9542
31,1,2014,18010
32,2,2014,20583
33,2,2014,23569
34,2,2014,25000
35,2,2014,33680
36,2,2014,48571
37,2,2014,50082
38,2,2014,38861
39,2,2014,35043
40,2,2014,35648
41,2,2014,28016
42,2,2014,19178
43,2,2014,18093
44,2,2014,23131
45,2,2014,35143
46,2,2014,35516
47,2,2014,58020
48,2,2014,51182
49,2,2014,50150
50,2,2014,104813
51,2,2014,69730
52,2,2014,46617
53,2,2014,54456
54,2,2014,59561
55,2,2014,66418
56,2,2014,66121
57,2,2014,99711
58,2,2014,11834
59,2,2014,20812
60,3,2014,13209
61,3,2014,22497
62,3,2014,44764
63,3,2014,67396
64,3,2014,144198
65,3,2014,83872
66,3,2014,93715
67,3,2014,93715
68,3,2014,93715
69,3,2014,93715
70,3,2014,93715
71,3,2014,92630
72,3,2014,59893
73,3,2014,48267
74,3,2014,51635
75,3,2014,31713
76,3,2014,38373
77,3,2014,27598
78,3,2014,19671
79,3,2014,19966
80,3,2014,24515
81,3,2014,25631
82,3,2014,24460
83,3,2014,16498
84,3,2014,20635
85,3,2014,21598
86,3,2014,24852
87,3,2014,19509
88,3,2014,26007
89,3,2014,48893
90,3,2014,41191
91,4,2014,19480
92,4,2014,12401
93,4,2014,17336
94,4,2014,7399
95,4,2014,7806
96,4,2014,12199
97,4,2014,10685
98,4,2014,10952
99,4,2014,19255
100,4,2014,27288
101,4,2014,12165
102,4,2014,7730
103,4,2014,9523
104,4,2014,22503
105,4,2014,14124
106,4,2014,10722
107,4,2014,32823
108,4,2014,29551
109,4,2014,41730
110,4,2014,19839
111,4,2014,16775
112,4,2014,11488
113,4,2014,7816
114,4,2014,7601
115,4,2014,20938
116,4,2014,9438
117,4,2014,4926
118,4,2014,7567
119,4,2014,5775
120,4,2014,9102
121,5,2014,8011
122,5,2014,9720
123,5,2014,20981
124,5,2014,26362
125,5,2014,20654
126,5,2014,12906
127,5,2014,8653
128,5,2014,4938
129,5,2014,10134
130,5,2014,11005
131,5,2014,5013
132,5,2014,5008
133,5,2014,5075
134,5,2014,4693
135,5,2014,12301
136,5,2014,12726
137,5,2014,14864
138,5,2014,17538
139,5,2014,14059
140,5,2014,13706
141,5,2014,15195
142,5,2014,13778
143,5,2014,4579
144,5,2014,7059
145,5,2014,6053
146,5,2014,4525
147,5,2014,4356
148,5,2014,4163
149,5,2014,2470
150,5,2014,4114
151,5,2014,2520
152,6,2014,2627
153,6,2014,3670
154,6,2014,3994
155,6,2014,4528
156,6,2014,3092
157,6,2014,2114
158,6,2014,1436
159,6,2014,2584
160,6,2014,431
161,6,2014,518
162,6,2014,844
163,6,2014,499
164,6,2014,849
165,6,2014,1188
166,6,2014,1272
167,6,2014,652
168,6,2014,1026
169,6,2014,399
170,6,2014,470
171,6,2014,794
172,6,2014,611
173,6,2014,525
174,6,2014,527
175,6,2014,428
176,6,2014,667
177,6,2014,1251
178,6,2014,1419
179,6,2014,2093
180,6,2014,2158
181,6,2014,2167
182,7,2014,1349
183,7,2014,915
184,7,2014,362
185,7,2014,307
186,7,2014,305
187,7,2014,308
188,7,2014,277
189,7,2014,348
190,7,2014,365
191,7,2014,335
192,7,2014,296
193,7,2014,352
194,7,2014,386
195,7,2014,715
196,7,2014,923
197,7,2014,1363
198,7,2014,337
