year,week,mean_migrants
2014,5,19340.8
2014,6,38557.28571428572
2014,7,34323.28571428572
2014,8,64535
2014,9,39849.71428571428
2014,10,95760.85714285714
2014,11,59460.857142857145
2014,12,22619.85714285714
2014,13,28955
2014,14,12472.285714285714
2014,15,15630.857142857143
2014,16,23652
2014,17,9967.714285714286
2014,18,14372.142857142857
2014,19,8236.714285714286
2014,20,11608
2014,21,9270.714285714286
2014,22,3417.1428571428573
2014,23,2597
2014,24,831.7142857142857
2014,25,621.7142857142857
2014,26,1454.7142857142858
2014,27,546.1428571428571
2014,28,399.57142857142856
2014,29,874.3333333333334
